gene,perm_importance_mean,perm_importance_std
ADAM32,2.5822303957090398e-05,1.3373169080677906e-05
ZNF350-AS1,2.5761380869659954e-05,1.5183620605607459e-05
SPC25,2.575007479503899e-05,4.4551300589712654e-05
AC007014.1,2.5726724567864957e-05,1.7623696528743462e-05
PINLYP,2.553261077521407e-05,1.2919981472076278e-05
AC024592.3,2.5467833110348614e-05,1.3788272588292835e-05
CCL5,2.544775194059934e-05,3.20020020693016e-05
CCNL2,2.541887351402705e-05,3.8987072604720614e-05
AC105999.2,2.5114881094767673e-05,4.24529212561506e-05
AC092069.1,2.4430533544173016e-05,2.499453360878103e-05
AL031846.2,2.408822549302414e-05,1.8506579980984448e-05
EDNRB,2.4083923579665267e-05,0.0
POU3F1,2.4083923579665267e-05,0.0
RHOV,2.4083923579665267e-05,0.0
C9orf152,2.4083923579665267e-05,0.0
PRR9,2.4083923579665267e-05,0.0
CA12,2.4083923579665267e-05,0.0
AC012377.1,2.4083923579665267e-05,0.0
SPEM1,2.4083923579665267e-05,0.0
NPY1R,2.4083923579665267e-05,0.0
AP001412.1,2.4036348346290203e-05,1.4272570012519025e-07
ZNF252P-AS1,2.4036343284195017e-05,1.0664689848227082e-05
AADAC,2.3794388239040122e-05,1.0688286353231888e-05
HIST1H2BE,2.3746759909482053e-05,1.0679302585679747e-05
NEBL,2.3703316650569572e-05,1.0665432481013962e-05
GRAMD1B,2.3674736467671485e-05,8.437351961018963e-05
AL138885.3,2.3660353340548834e-05,4.6133426662559795e-05
TBR1,2.3655741417194508e-05,1.0664689667570833e-05
AC113378.1,2.3655741417194508e-05,1.0664689667570831e-05
KIF20B,2.3649943697978682e-05,4.075943569655324e-05
AC011815.2,2.3625577891617235e-05,1.3005554009400872e-05
GLUL,2.3609218966047507e-05,4.6295057878383506e-05
SERPINB10,2.3608171245914633e-05,0.0
LTA,2.3608171245914633e-05,0.0
SNX31,2.3608171245914633e-05,0.0
LCN2,2.3608171245914633e-05,0.0
ST3GAL5-AS1,2.3608171245914633e-05,0.0
AC084782.3,2.3608171245914633e-05,0.0
F5,2.3608171245914633e-05,0.0
MYO16,2.3608171245914633e-05,0.0
HORMAD1,2.3608171245914633e-05,0.0
AC092171.5,2.3608171245914633e-05,0.0
OR6M1,2.3608171245914633e-05,0.0
GPC5,2.3608171245914633e-05,0.0
S100A12,2.3608171245914633e-05,0.0
UGDH-AS1,2.36000755002852e-05,1.8802584552966318e-05
AL591846.2,2.3547247311062058e-05,7.0826216916008985e-06
AL355472.1,2.3440541610963983e-05,3.112577890551695e-05
CATSPERG,2.336604823531818e-05,1.0028190210210109e-05
LGALS1,2.323820948660904e-05,9.526311937833128e-05
AC099329.3,2.31717601648751e-05,1.0849787224115528e-05
CDCA7,2.3030493102105255e-05,3.859147086377707e-05
AL928970.1,2.3025004850119046e-05,1.552558185849982e-05
KIF23,2.2086330121695586e-05,4.1430540663065535e-05
EGR3,2.2030148266050097e-05,1.3263676874584689e-05
AL713998.1,2.1917351688671705e-05,7.170822956002136e-06
AC104964.1,2.1723050712840752e-05,7.082618600473544e-06
DENND5B-AS1,2.1675531221698742e-05,7.22517707389958e-06
WFDC1,2.1675531221698742e-05,7.22517707389958e-06
AL356441.1,2.1675531221698742e-05,7.22517707389958e-06
AC005618.1,2.16754704173705e-05,1.2793530933308023e-05
AC012668.3,2.148115263328476e-05,7.808312839141518e-06
RN7SL832P,2.138591806366552e-05,1.6839978222936745e-05
